,amenity,name,addr:street,addr:housenumber,addr:city
756,restaurant,Bebel's,Via San Marco,38,Milano
757,restaurant,Y-Not,Via Solferino,25,Milano
758,restaurant,Drogheria San Marco,Via San Marco,29,Milano
759,restaurant,Ristorante Pizzeria Da Cecco,Via Solferino,34,Milano
760,restaurant,40 take away,Via San Marco,35,Milano
761,restaurant,Rangoli,Via Solferino,36,Milano
763,restaurant,Pino,Via Palermo,21,Milano
764,restaurant,My Kimchi,Viale Montello,9,Milano
765,restaurant,Miscusi,Via Giacomo Leopardi,13,Milano
766,restaurant,Taberna San Tomaso,Via San Tomaso,5 N01,Milano
767,restaurant,Trattoria Cinese,Via Bramante,20,Milano
768,restaurant,Xin Fu-Ji,Viale Montello,9,Milano
776,restaurant,Un mondo di sapori,Via Giacomo Zanella,59,Milano
779,bar,Picchio,Via Melzo,11,Milano
782,restaurant,Trattoria del Generale,Via Gustavo Fara,17,Milano
783,restaurant,Hashimi sushi,Via Gustavo Fara,4,Milano
784,restaurant,Osteria Qui da Noi,Via Gustavo Fara,10,Milano
785,restaurant,Taiwan,Via Adda,10,Milano
786,restaurant,Kingyo,Via Emilio Cornalia,16,Milano
787,restaurant,Trattoria La Fattoria,Via Gustavo Fara,1,Milano
788,restaurant,Leon d'Oro,Via Adda,3,Milano
789,restaurant,Trattoria Il Paiolo,Via Gustavo Fara,7,Milano
790,restaurant,El Hornero,Piazza Monte Titano,4,Milano
791,restaurant,Vizi e Sfizi,Piazza Caiazzo,2,Milano
792,restaurant,Altravia Bistrot,Piazza Caiazzo,1,Milano
794,restaurant,Senzatempo Bistrot,Foro Buonaparte,52,Milano
795,restaurant,Al Galileo,Via Galileo Galilei,14,Milano
796,restaurant,Gambarotta,Via della Moscova,50,Milano
797,bar,Movidas,Corso Giuseppe Garibaldi,111,Milano
798,restaurant,Briscola,Corso Giuseppe Garibaldi,104,Milano
799,restaurant,Bio.it,Via Federico Confalonieri,8,Milano
800,bar,Cimmino 104,Corso Giuseppe Garibaldi,104,Milano
801,restaurant,Perimetro,Corso Giuseppe Garibaldi,118,Milano
802,restaurant,Da Sasà,Via Giovanni Battista Pergolesi,21,Milano
803,restaurant,Frijeno Magnanno,Via Benedetto Marcello,93,Milano
804,restaurant,Kashmir,Via Domenico Scarlatti,11,Milano
805,restaurant,Mediterranea,Via Benedetto Marcello,93,Milano
806,restaurant,New Gandhi,Via Benedetto Marcello,93,Milano
807,restaurant,Noblesse Oblige,Via Franchino Gaffurio,1,Milano
808,restaurant,Pizzeria Gaffurio,Via Franchino Gaffurio,8,Milano
809,restaurant,Ristorante Chekiang,Via Giovanni Battista Pergolesi,19,Milano
810,restaurant,Mr. Panozzo,Via Enrico Noë,6,Milano
811,restaurant,Amalfitana,Via Giovanni Paisiello,22,Milano
813,cinema,Nuovo Cinema Orchidea,Via Terraggio,3,Milano
