,Unnamed: 0,codice_regione_ISTAT,codice_nuts_1,descrizione_nuts_1,codice_nuts_2,denominazione_regione,sigla_regione,latitudine_regione,longitudine_regione,range_eta,totale_genere_maschile,totale_genere_femminile,totale_generale
123,137,16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,70-79,180128,210406,390534
124,138,16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,80-89,89342,132882,222224
125,139,16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,90+,13779,32123,45902
126,141,20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,0-19,127333,118802,246135
127,142,20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,20-29,80271,72004,152275
128,143,20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,30-39,94899,90533,185432
129,144,20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,40-49,126925,124005,250930
130,145,20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,50-59,131146,134922,266068
131,146,20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,60-69,108289,115352,223641
132,147,20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,70-79,78850,92007,170857
133,148,20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,80-89,37868,57304,95172
134,149,20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,90+,6115,14996,21111
135,151,19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,0-19,474410,446491,920901
136,152,19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,20-29,287944,271213,559157
137,153,19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,30-39,296453,293294,589747
138,154,19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,40-49,343417,355022,698439
139,155,19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,50-59,353625,379340,732965
140,156,19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,60-69,285538,315663,601201
141,157,19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,70-79,208531,248434,456965
142,158,19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,80-89,105216,157914,263130
143,159,19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,90+,15808,36977,52785
144,161,09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,0-19,316369,297185,613554
145,162,09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,20-29,176816,162927,339743
146,163,09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,30-39,200280,201208,401488
147,164,09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,40-49,274782,281885,556667
148,165,09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,50-59,286787,300323,587110
149,166,09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,60-69,220476,242777,463253
150,167,09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,70-79,187430,222721,410151
151,168,09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,80-89,104441,155212,259653
152,169,09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,90+,16937,43999,60936
153,171,04,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,0-19,54216,50770,104986
154,172,04,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,20-29,29786,27969,57755
155,173,04,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,30-39,30787,30275,61062
156,174,04,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,40-49,38770,39318,78088
157,175,04,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,50-59,42757,43048,85805
158,176,04,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,60-69,33053,33974,67027
159,177,04,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,70-79,24619,27697,52316
160,178,04,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,80-89,11898,18566,30464
161,179,04,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,90+,2028,5894,7922
162,181,10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,0-19,74490,70573,145063
163,182,10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,20-29,42502,38846,81348
164,183,10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,30-39,48571,48592,97163
165,184,10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,40-49,62792,65040,127832
166,185,10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,50-59,65426,69873,135299
167,186,10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,60-69,52676,57863,110539
168,187,10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,70-79,44181,50823,95004
169,188,10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,80-89,25144,37634,62778
